21:04:18 | INFO | peft_train | [1180/3000] loss=0.0935 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:20 | INFO | peft_train | [1200/3000] loss=0.1180 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:22 | INFO | peft_train | [1220/3000] loss=0.0444 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:24 | INFO | peft_train | [1240/3000] loss=0.1173 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:26 | INFO | peft_train | [1260/3000] loss=0.1653 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:28 | INFO | peft_train | [1280/3000] loss=0.0649 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:30 | INFO | peft_train | [1300/3000] loss=0.3110 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:32 | INFO | peft_train | [1320/3000] loss=0.0582 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:34 | INFO | peft_train | [1340/3000] loss=0.0990 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:36 | INFO | peft_train | [1360/3000] loss=0.1890 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:38 | INFO | peft_train | [1380/3000] loss=0.0552 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:40 | INFO | peft_train | [1400/3000] loss=0.0955 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:42 | INFO | peft_train | [1420/3000] loss=0.2761 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:44 | INFO | peft_train | [1440/3000] loss=0.1087 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:46 | INFO | peft_train | [1460/3000] loss=0.0826 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:48 | INFO | peft_train | [1480/3000] loss=0.2812 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:50 | INFO | peft_train | [1500/3000] loss=0.0642 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:52 | INFO | peft_train | [1520/3000] loss=0.2946 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:54 | INFO | peft_train | [1540/3000] loss=0.2068 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:56 | INFO | peft_train | [1560/3000] loss=0.0847 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:04:58 | INFO | peft_train | [1580/3000] loss=0.0716 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:00 | INFO | peft_train | [1600/3000] loss=0.0879 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:02 | INFO | peft_train | [1620/3000] loss=0.0337 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:04 | INFO | peft_train | [1640/3000] loss=0.1630 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:06 | INFO | peft_train | [1660/3000] loss=0.0492 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:08 | INFO | peft_train | [1680/3000] loss=0.0841 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:10 | INFO | peft_train | [1700/3000] loss=0.1604 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:11 | INFO | peft_train | [1720/3000] loss=0.0901 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:13 | INFO | peft_train | [1740/3000] loss=0.1214 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:15 | INFO | peft_train | [1760/3000] loss=0.0942 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:17 | INFO | peft_train | [1780/3000] loss=0.1188 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:19 | INFO | peft_train | [1800/3000] loss=0.2517 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:21 | INFO | peft_train | [1820/3000] loss=0.1498 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:23 | INFO | peft_train | [1840/3000] loss=0.1686 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:25 | INFO | peft_train | [1860/3000] loss=0.1179 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:27 | INFO | peft_train | [1880/3000] loss=0.3464 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:29 | INFO | peft_train | [1900/3000] loss=0.0932 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:31 | INFO | peft_train | [1920/3000] loss=0.0637 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:33 | INFO | peft_train | [1940/3000] loss=0.0708 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:35 | INFO | peft_train | [1960/3000] loss=0.0858 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:37 | INFO | peft_train | [1980/3000] loss=0.1272 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:39 | INFO | peft_train | [2000/3000] loss=0.0394 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.11s/it)
21:05:41 | INFO | peft_train | 📊 Eval [2000]: pos=0.0868 rot=0.0196
21:05:43 | INFO | peft_train | [2020/3000] loss=0.1006 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.20s/it)
21:05:45 | INFO | peft_train | [2040/3000] loss=0.1038 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:47 | INFO | peft_train | [2060/3000] loss=0.0687 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:49 | INFO | peft_train | [2080/3000] loss=0.1042 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:51 | INFO | peft_train | [2100/3000] loss=0.0920 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:53 | INFO | peft_train | [2120/3000] loss=0.0746 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:55 | INFO | peft_train | [2140/3000] loss=0.0647 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:56 | INFO | peft_train | [2160/3000] loss=0.0935 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:05:58 | INFO | peft_train | [2180/3000] loss=0.0773 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:00 | INFO | peft_train | [2200/3000] loss=0.0787 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:02 | INFO | peft_train | [2220/3000] loss=0.0540 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:04 | INFO | peft_train | [2240/3000] loss=0.0563 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:06 | INFO | peft_train | [2260/3000] loss=0.1474 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:08 | INFO | peft_train | [2280/3000] loss=0.1179 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:10 | INFO | peft_train | [2300/3000] loss=0.1500 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:12 | INFO | peft_train | [2320/3000] loss=0.0492 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:14 | INFO | peft_train | [2340/3000] loss=0.0658 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:16 | INFO | peft_train | [2360/3000] loss=0.0882 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:18 | INFO | peft_train | [2380/3000] loss=0.1187 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:20 | INFO | peft_train | [2400/3000] loss=0.0455 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:22 | INFO | peft_train | [2420/3000] loss=0.0601 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:24 | INFO | peft_train | [2440/3000] loss=0.0557 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:26 | INFO | peft_train | [2460/3000] loss=0.0619 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:28 | INFO | peft_train | [2480/3000] loss=0.0540 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:29 | INFO | peft_train | [2500/3000] loss=0.1089 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:31 | INFO | peft_train | [2520/3000] loss=0.0975 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:33 | INFO | peft_train | [2540/3000] loss=0.0784 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:35 | INFO | peft_train | [2560/3000] loss=0.0470 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:37 | INFO | peft_train | [2580/3000] loss=0.0375 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:39 | INFO | peft_train | [2600/3000] loss=0.0803 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:41 | INFO | peft_train | [2620/3000] loss=0.0860 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
21:06:43 | INFO | peft_train | [2640/3000] loss=0.0925 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.10s/it)
