20:16:15 | INFO | train | [1020/100000] loss=0.1256 lr_core=1.00e-06 lr_vlm=1.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:16 | INFO | train | [1040/100000] loss=0.0932 lr_core=2.00e-06 lr_vlm=2.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:18 | INFO | train | [1060/100000] loss=0.0869 lr_core=3.00e-06 lr_vlm=3.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:20 | INFO | train | [1080/100000] loss=0.0994 lr_core=4.00e-06 lr_vlm=4.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:22 | INFO | train | [1100/100000] loss=0.0779 lr_core=5.00e-06 lr_vlm=5.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:23 | INFO | train | [1120/100000] loss=0.0896 lr_core=6.00e-06 lr_vlm=6.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:25 | INFO | train | [1140/100000] loss=0.0891 lr_core=7.00e-06 lr_vlm=7.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:27 | INFO | train | [1160/100000] loss=0.1362 lr_core=8.00e-06 lr_vlm=8.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:29 | INFO | train | [1180/100000] loss=0.0852 lr_core=9.00e-06 lr_vlm=9.00e-06 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:31 | INFO | train | [1200/100000] loss=0.1510 lr_core=1.00e-05 lr_vlm=1.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:32 | INFO | train | [1220/100000] loss=0.1229 lr_core=1.10e-05 lr_vlm=1.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:34 | INFO | train | [1240/100000] loss=0.0983 lr_core=1.20e-05 lr_vlm=1.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:36 | INFO | train | [1260/100000] loss=0.0821 lr_core=1.30e-05 lr_vlm=1.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:38 | INFO | train | [1280/100000] loss=0.0633 lr_core=1.40e-05 lr_vlm=1.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:39 | INFO | train | [1300/100000] loss=0.1530 lr_core=1.50e-05 lr_vlm=1.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:41 | INFO | train | [1320/100000] loss=0.1161 lr_core=1.60e-05 lr_vlm=1.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:43 | INFO | train | [1340/100000] loss=0.0600 lr_core=1.70e-05 lr_vlm=1.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:45 | INFO | train | [1360/100000] loss=0.0779 lr_core=1.80e-05 lr_vlm=1.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:47 | INFO | train | [1380/100000] loss=0.0603 lr_core=1.90e-05 lr_vlm=1.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:48 | INFO | train | [1400/100000] loss=0.0750 lr_core=2.00e-05 lr_vlm=2.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:50 | INFO | train | [1420/100000] loss=0.0995 lr_core=2.10e-05 lr_vlm=2.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:52 | INFO | train | [1440/100000] loss=0.1223 lr_core=2.20e-05 lr_vlm=2.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:54 | INFO | train | [1460/100000] loss=0.1002 lr_core=2.30e-05 lr_vlm=2.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
