09:24:41 | INFO | peft_train | [1840/30000] loss=0.2569 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:43 | INFO | peft_train | [1860/30000] loss=0.1268 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:45 | INFO | peft_train | [1880/30000] loss=1.0001 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:47 | INFO | peft_train | [1900/30000] loss=2.4636 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.10s/it)
09:24:50 | INFO | peft_train | [1920/30000] loss=0.1591 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.11s/it)
09:24:52 | INFO | peft_train | [1940/30000] loss=0.5581 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:24:54 | INFO | peft_train | [1960/30000] loss=0.2084 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:24:55 | INFO | peft_train | [1980/30000] loss=0.3693 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:24:57 | INFO | peft_train | [2000/30000] loss=1.7323 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:25:00 | INFO | peft_train | 📊 Eval [2000]: pos=0.4405 rot=0.0229
09:25:02 | INFO | peft_train | [2020/30000] loss=1.2830 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.20s/it)
09:25:04 | INFO | peft_train | [2040/30000] loss=0.4729 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:25:05 | INFO | peft_train | [2060/30000] loss=0.4839 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:25:07 | INFO | peft_train | [2080/30000] loss=0.2836 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:25:10 | INFO | peft_train | [2100/30000] loss=0.2553 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.10s/it)
09:25:11 | INFO | peft_train | [2120/30000] loss=0.0782 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:13 | INFO | peft_train | [2140/30000] loss=0.0535 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:16 | INFO | peft_train | [2160/30000] loss=0.0494 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:18 | INFO | peft_train | [2180/30000] loss=0.4282 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:20 | INFO | peft_train | [2200/30000] loss=0.4036 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:22 | INFO | peft_train | [2220/30000] loss=0.1242 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:24 | INFO | peft_train | [2240/30000] loss=0.2644 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:26 | INFO | peft_train | [2260/30000] loss=0.9319 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:28 | INFO | peft_train | [2280/30000] loss=0.4341 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.10s/it)
09:25:30 | INFO | peft_train | [2300/30000] loss=0.2172 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:32 | INFO | peft_train | [2320/30000] loss=1.9206 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:34 | INFO | peft_train | [2340/30000] loss=0.6398 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:36 | INFO | peft_train | [2360/30000] loss=0.0265 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:38 | INFO | peft_train | [2380/30000] loss=0.3586 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:40 | INFO | peft_train | [2400/30000] loss=0.1991 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.11s/it)
09:25:42 | INFO | peft_train | [2420/30000] loss=0.4332 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:44 | INFO | peft_train | [2440/30000] loss=0.0699 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.10s/it)
09:25:46 | INFO | peft_train | [2460/30000] loss=0.2683 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:48 | INFO | peft_train | [2480/30000] loss=2.1046 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:50 | INFO | peft_train | [2500/30000] loss=0.2879 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:52 | INFO | peft_train | [2520/30000] loss=0.4070 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:54 | INFO | peft_train | [2540/30000] loss=0.9239 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:56 | INFO | peft_train | [2560/30000] loss=0.6779 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:25:58 | INFO | peft_train | [2580/30000] loss=0.4891 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:26:00 | INFO | peft_train | [2600/30000] loss=1.2420 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.10s/it)
09:26:02 | INFO | peft_train | [2620/30000] loss=0.2068 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:04 | INFO | peft_train | [2640/30000] loss=0.1636 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:06 | INFO | peft_train | [2660/30000] loss=0.2477 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:08 | INFO | peft_train | [2680/30000] loss=0.0489 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:10 | INFO | peft_train | [2700/30000] loss=0.4093 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:12 | INFO | peft_train | [2720/30000] loss=2.0161 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:14 | INFO | peft_train | [2740/30000] loss=1.4633 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.10s/it)
09:26:16 | INFO | peft_train | [2760/30000] loss=0.5543 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:18 | INFO | peft_train | [2780/30000] loss=0.3588 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:19 | INFO | peft_train | [2800/30000] loss=0.1161 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:22 | INFO | peft_train | [2820/30000] loss=0.1996 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:24 | INFO | peft_train | [2840/30000] loss=0.5175 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:26 | INFO | peft_train | [2860/30000] loss=0.8856 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:27 | INFO | peft_train | [2880/30000] loss=1.3875 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.10s/it)
09:26:29 | INFO | peft_train | [2900/30000] loss=0.7524 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.10s/it)
09:26:32 | INFO | peft_train | [2920/30000] loss=0.0615 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.10s/it)
09:26:34 | INFO | peft_train | [2940/30000] loss=0.0834 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.10s/it)
09:26:36 | INFO | peft_train | [2960/30000] loss=0.6078 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.10s/it)
09:26:38 | INFO | peft_train | [2980/30000] loss=0.0573 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.10s/it)
09:26:40 | INFO | peft_train | [3000/30000] loss=0.3881 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.11s/it)
09:26:42 | INFO | peft_train | 📊 Eval [3000]: pos=0.0713 rot=0.0330
09:26:44 | INFO | peft_train | [3020/30000] loss=0.2079 lr_core=4.89e-04 lr_vlm=4.89e-04 (0.20s/it)
09:26:46 | INFO | peft_train | [3040/30000] loss=0.8570 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
09:26:48 | INFO | peft_train | [3060/30000] loss=0.3496 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
09:26:50 | INFO | peft_train | [3080/30000] loss=0.0667 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
09:26:52 | INFO | peft_train | [3100/30000] loss=0.5860 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
09:26:54 | INFO | peft_train | [3120/30000] loss=1.7206 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
09:26:56 | INFO | peft_train | [3140/30000] loss=0.0667 lr_core=4.88e-04 lr_vlm=4.88e-04 (0.10s/it)
