15:56:57 | INFO | peft_train | [1320/200000] loss=0.0547 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:56:59 | INFO | peft_train | [1340/200000] loss=0.0526 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:01 | INFO | peft_train | [1360/200000] loss=0.0550 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:04 | INFO | peft_train | [1380/200000] loss=0.0449 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:06 | INFO | peft_train | [1400/200000] loss=0.0509 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:09 | INFO | peft_train | [1420/200000] loss=0.0910 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:11 | INFO | peft_train | [1440/200000] loss=0.0402 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:13 | INFO | peft_train | [1460/200000] loss=0.0462 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:16 | INFO | peft_train | [1480/200000] loss=0.0419 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:18 | INFO | peft_train | [1500/200000] loss=0.0509 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:20 | INFO | peft_train | [1520/200000] loss=0.0499 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:23 | INFO | peft_train | [1540/200000] loss=0.0612 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:25 | INFO | peft_train | [1560/200000] loss=0.0573 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:27 | INFO | peft_train | [1580/200000] loss=0.0483 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:30 | INFO | peft_train | [1600/200000] loss=0.0425 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:32 | INFO | peft_train | [1620/200000] loss=0.0562 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:35 | INFO | peft_train | [1640/200000] loss=0.1150 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:37 | INFO | peft_train | [1660/200000] loss=0.0646 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
