18:59:24 | INFO | peft_train | [1180/40000] loss=0.0315 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:27 | INFO | peft_train | [1200/40000] loss=0.0340 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:29 | INFO | peft_train | [1220/40000] loss=0.0388 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:32 | INFO | peft_train | [1240/40000] loss=0.0446 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:34 | INFO | peft_train | [1260/40000] loss=0.0392 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:37 | INFO | peft_train | [1280/40000] loss=0.0407 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:39 | INFO | peft_train | [1300/40000] loss=0.0327 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:41 | INFO | peft_train | [1320/40000] loss=0.0377 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:44 | INFO | peft_train | [1340/40000] loss=0.0427 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:46 | INFO | peft_train | [1360/40000] loss=0.0352 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:49 | INFO | peft_train | [1380/40000] loss=0.0335 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:51 | INFO | peft_train | [1400/40000] loss=0.0335 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:54 | INFO | peft_train | [1420/40000] loss=0.0405 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
18:59:56 | INFO | peft_train | [1440/40000] loss=0.0335 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.13s/it)
18:59:59 | INFO | peft_train | [1460/40000] loss=0.0385 lr_core=4.99e-04 lr_vlm=4.99e-04 (0.12s/it)
19:00:01 | INFO | peft_train | [1480/40000] loss=0.0411 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:04 | INFO | peft_train | [1500/40000] loss=0.0616 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:06 | INFO | peft_train | [1520/40000] loss=0.0293 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:08 | INFO | peft_train | [1540/40000] loss=0.0361 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:11 | INFO | peft_train | [1560/40000] loss=0.0451 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
